,state,year,number_of_drinks_total
1019,mississippi,2007,482.1333333
1020,mississippi,2006,475.7333333
1021,mississippi,2005,465.0666667
1022,mississippi,2004,456.5333333
1023,mississippi,2003,454.4
1024,mississippi,2002,454.4
1025,mississippi,2001,450.1333333
1050,missouri,2018,535.4666667
1051,missouri,2017,539.7333333
1052,missouri,2016,531.2
1053,missouri,2015,539.7333333
1054,missouri,2014,512
1055,missouri,2013,520.5333333
1056,missouri,2012,516.2666667
1057,missouri,2011,522.6666667
1058,missouri,2010,514.1333333
1059,missouri,2009,518.4
1060,missouri,2008,516.2666667
1061,missouri,2007,512
1062,missouri,2006,505.6
1063,missouri,2005,490.6666667
1064,missouri,2004,494.9333333
1065,missouri,2003,488.5333333
1066,missouri,2002,484.2666667
1067,missouri,2001,480
1092,montana,2018,661.3333333
1093,montana,2017,661.3333333
1094,montana,2016,665.6
1095,montana,2015,659.2
1096,montana,2014,659.2
1097,montana,2013,654.9333333
1098,montana,2012,657.0666667
1099,montana,2011,635.7333333
1100,montana,2010,635.7333333
1101,montana,2009,631.4666667
1102,montana,2008,633.6
1103,montana,2007,627.2
1104,montana,2006,612.2666667
1105,montana,2005,593.0666667
1106,montana,2004,567.4666667
1107,montana,2003,558.9333333
1108,montana,2002,565.3333333
1109,montana,2001,546.1333333
1134,nebraska,2018,460.8
1135,nebraska,2017,469.3333333
1136,nebraska,2016,477.8666667
1137,nebraska,2015,484.2666667
1138,nebraska,2014,490.6666667
1139,nebraska,2013,494.9333333
1140,nebraska,2012,494.9333333
1141,nebraska,2011,488.5333333
1142,nebraska,2010,486.4
1143,nebraska,2009,488.5333333
1144,nebraska,2008,497.0666667
1145,nebraska,2007,492.8
1146,nebraska,2006,501.3333333
1147,nebraska,2005,488.5333333
1148,nebraska,2004,486.4
1149,nebraska,2003,477.8666667
1150,nebraska,2002,475.7333333
1151,nebraska,2001,469.3333333
1176,nevada,2018,729.6
1177,nevada,2017,740.2666667
1178,nevada,2016,746.6666667
1179,nevada,2015,714.6666667
1180,nevada,2014,721.0666667
1181,nevada,2013,708.2666667
1182,nevada,2012,699.7333333
1183,nevada,2011,714.6666667
1184,nevada,2010,704
1185,nevada,2009,684.8
1186,nevada,2008,753.0666667
1187,nevada,2007,750.9333333
1188,nevada,2006,774.4
1189,nevada,2005,750.9333333
1190,nevada,2004,770.1333333
1191,nevada,2003,765.8666667
1192,nevada,2002,759.4666667
1193,nevada,2001,765.8666667
1218,new hampshire,2018,996.2666667
1219,new hampshire,2017,1006.933333
1220,new hampshire,2016,1011.2
1221,new hampshire,2015,1002.666667
1222,new hampshire,2014,966.4
1223,new hampshire,2013,996.2666667
1224,new hampshire,2012,989.8666667
1225,new hampshire,2011,1015.466667
1226,new hampshire,2010,960
