,state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
1564,oregon,2008,289.1851851851852,97.24031007751935,172.3276561232766,541.8666666666667
1565,oregon,2007,320.00000000000006,99.22480620155036,168.17518248175185,565.3333333333334
1566,oregon,2006,312.8888888888889,97.24031007751935,161.94647201946472,552.5333333333333
1567,oregon,2005,274.962962962963,99.22480620155036,155.71776155717762,512.0
1568,oregon,2004,291.5555555555556,97.24031007751935,149.48905109489053,520.5333333333333
1569,oregon,2003,284.4444444444445,93.27131782945736,143.2603406326034,503.4666666666666
1570,oregon,2002,289.1851851851852,91.28682170542636,137.03163017031628,499.2
1571,oregon,2001,289.1851851851852,85.33333333333334,134.95539334955393,490.6666666666666
1572,oregon,2000,284.4444444444445,87.31782945736435,132.87915652879158,486.40000000000015
1596,pennsylvania,2018,305.77777777777777,65.48837209302324,149.48905109489053,499.2
1597,pennsylvania,2017,308.1481481481481,65.48837209302324,149.48905109489053,501.33333333333326
1598,pennsylvania,2016,310.5185185185185,65.48837209302324,149.48905109489053,503.4666666666666
1599,pennsylvania,2015,310.5185185185185,63.503875968992254,145.33657745336578,497.06666666666666
1600,pennsylvania,2014,312.8888888888889,63.503875968992254,145.33657745336578,499.2
1601,pennsylvania,2013,317.6296296296297,61.51937984496124,141.18410381184103,497.06666666666666
1602,pennsylvania,2012,322.3703703703704,61.51937984496124,139.10786699107868,499.2
1603,pennsylvania,2011,324.7407407407408,59.534883720930225,137.03163017031628,497.06666666666666
1604,pennsylvania,2010,324.7407407407408,57.55038759689922,132.87915652879158,490.6666666666666
1605,pennsylvania,2009,324.7407407407408,55.56589147286822,130.8029197080292,484.2666666666667
1606,pennsylvania,2008,322.3703703703704,51.5968992248062,126.65044606650446,475.73333333333335
1607,pennsylvania,2007,320.00000000000006,49.61240310077518,120.42173560421736,465.0666666666667
1608,pennsylvania,2006,312.8888888888889,45.64341085271318,114.19302514193028,448.00000000000006
1609,pennsylvania,2005,312.8888888888889,45.64341085271318,114.19302514193028,450.13333333333327
1610,pennsylvania,2004,308.1481481481481,45.64341085271318,110.04055150040553,439.4666666666667
1611,pennsylvania,2003,310.5185185185185,43.65891472868218,105.88807785888079,435.2000000000001
1612,pennsylvania,2002,320.00000000000006,41.67441860465117,101.73560421735607,439.4666666666667
1613,pennsylvania,2001,315.2592592592593,39.689922480620154,99.65936739659368,430.9333333333333
